time,open,high,low,close
1767469445,1537.09,1537.09,1537.05,1537.06
1767469450,1537.06,1537.21,1537.05,1537.16
1767469455,1537.16,1537.22,1537.16,1537.21
1767469460,1537.21,1537.28,1537.19,1537.28
1767469465,1537.28,1537.3,1537.25,1537.25
1767469470,1537.25,1537.39,1537.23,1537.39
1767469475,1537.39,1537.41,1537.38,1537.41
1767469480,1537.41,1537.43,1537.37,1537.43
1767469485,1537.42,1537.48,1537.42,1537.48
1767469490,1537.46,1537.46,1537.4,1537.4
1767469495,1537.4,1537.4,1537.38,1537.38
1767469500,1537.39,1537.42,1537.39,1537.42
1767469505,1537.41,1537.41,1537.37,1537.38
1767469510,1537.4,1537.4,1537.31,1537.31
1767469515,1537.31,1537.34,1537.29,1537.3
1767469520,1537.32,1537.34,1537.3,1537.3
1767469525,1537.29,1537.34,1537.26,1537.33
1767469530,1537.31,1537.35,1537.3,1537.3
1767469535,1537.3,1537.31,1537.3,1537.31
1767469540,1537.31,1537.35,1537.26,1537.27
1767469545,1537.23,1537.23,1537.14,1537.16
1767469550,1537.15,1537.15,1537.08,1537.12
1767469555,1537.13,1537.14,1537.12,1537.14
1767469560,1537.14,1537.17,1537.11,1537.16
1767469565,1537.16,1537.16,1537.09,1537.1
1767469570,1537.12,1537.2,1537.09,1537.2
1767469575,1537.22,1537.29,1537.22,1537.29
1767469580,1537.29,1537.29,1537.24,1537.28
1767469585,1537.25,1537.25,1537.19,1537.19
1767469590,1537.19,1537.28,1537.17,1537.28
1767469595,1537.28,1537.44,1537.28,1537.43
1767469600,1537.43,1537.52,1537.43,1537.45
1767469605,1537.43,1537.43,1537.37,1537.41
1767469610,1537.41,1537.41,1537.38,1537.41
1767469615,1537.42,1537.42,1537.35,1537.35
1767469620,1537.35,1537.36,1537.32,1537.33
1767469625,1537.33,1537.33,1537.27,1537.27
1767469630,1537.27,1537.28,1537.21,1537.22
1767469635,1537.24,1537.24,1537.16,1537.16
1767469640,1537.16,1537.17,1537.14,1537.17
1767469645,1537.16,1537.18,1537.15,1537.15
1767469650,1537.14,1537.14,1537.1,1537.1
1767469655,1537.1,1537.1,1536.98,1536.99
1767469195,1537.1,1537.15,1537.1,1537.15
1767469200,1537.14,1537.24,1537.08,1537.08
1767469205,1537.07,1537.12,1537.07,1537.12
1767469210,1537.11,1537.11,1537.02,1537.03
1767469215,1537.03,1537.05,1536.93,1536.93
1767469220,1536.92,1536.95,1536.9,1536.91
1767469225,1536.93,1536.93,1536.87,1536.87
1767469230,1536.89,1537.04,1536.88,1537.04
1767469235,1537.04,1537.08,1537.04,1537.08
1767469240,1537.1,1537.1,1537.06,1537.06
1767469245,1537.07,1537.1,1537.07,1537.1
1767469250,1537.1,1537.13,1537.1,1537.12
1767469255,1537.12,1537.19,1537.1,1537.13
1767469260,1537.13,1537.15,1537.08,1537.15
1767469265,1537.13,1537.2,1537.12,1537.2
1767469270,1537.2,1537.2,1537.15,1537.15
1767469275,1537.15,1537.16,1537.14,1537.15
1767469280,1537.15,1537.16,1537.12,1537.14
1767469285,1537.11,1537.16,1537.11,1537.16
1767469290,1537.16,1537.17,1537.14,1537.17
1767469295,1537.17,1537.22,1537.17,1537.21
1767469300,1537.21,1537.24,1537.21,1537.23
1767469305,1537.24,1537.28,1537.23,1537.23
1767469310,1537.25,1537.27,1537.24,1537.27
1767469315,1537.27,1537.27,1537.21,1537.25
1767469320,1537.28,1537.28,1537.24,1537.24
1767469325,1537.22,1537.22,1537.2,1537.22
1767469330,1537.23,1537.23,1537.22,1537.23
1767469335,1537.23,1537.26,1537.16,1537.16
1767469340,1537.16,1537.16,1537.13,1537.16
1767469345,1537.16,1537.16,1537.14,1537.16
1767469350,1537.15,1537.19,1537.09,1537.09
1767469355,1537.09,1537.18,1537.05,1537.18
1767469360,1537.18,1537.18,1537.09,1537.1
1767469365,1537.13,1537.18,1537.12,1537.17
1767469370,1537.19,1537.21,1537.16,1537.18
1767469375,1537.18,1537.2,1537.14,1537.14
1767469380,1537.14,1537.15,1537.12,1537.12
1767469385,1537.1,1537.12,1537.07,1537.12
1767469390,1537.12,1537.12,1537.07,1537.11
1767469395,1537.11,1537.24,1537.11,1537.22
1767469400,1537.22,1537.26,1537.22,1537.26
1767469405,1537.26,1537.32,1537.26,1537.31
1767469410,1537.31,1537.41,1537.31,1537.38
1767469415,1537.38,1537.38,1537.35,1537.35
1767469420,1537.31,1537.31,1537.27,1537.28
1767469425,1537.29,1537.29,1537.26,1537.26
1767469430,1537.26,1537.31,1537.25,1537.26
1767469435,1537.26,1537.27,1537.17,1537.22
1767469440,1537.2,1537.21,1537.09,1537.12
1767469445,1537.09,1537.09,1537.05,1537.06
1767469450,1537.06,1537.21,1537.05,1537.16
1767469455,1537.16,1537.22,1537.16,1537.21
1767469460,1537.21,1537.28,1537.19,1537.28
1767469465,1537.28,1537.3,1537.25,1537.25
1767469470,1537.25,1537.39,1537.23,1537.39
1767469475,1537.39,1537.41,1537.38,1537.41
1767469480,1537.41,1537.43,1537.37,1537.43
1767469485,1537.42,1537.48,1537.42,1537.48
1767469490,1537.46,1537.46,1537.4,1537.4
1767469495,1537.4,1537.4,1537.38,1537.38
1767469500,1537.39,1537.42,1537.39,1537.42
1767469505,1537.41,1537.41,1537.37,1537.38
1767469510,1537.4,1537.4,1537.31,1537.31
1767469515,1537.31,1537.34,1537.29,1537.3
1767469520,1537.32,1537.34,1537.3,1537.3
1767469525,1537.29,1537.34,1537.26,1537.33
1767469530,1537.31,1537.35,1537.3,1537.3
1767469535,1537.3,1537.31,1537.3,1537.31
1767469540,1537.31,1537.35,1537.26,1537.27
1767469545,1537.23,1537.23,1537.14,1537.16
1767469550,1537.15,1537.15,1537.08,1537.12
1767469555,1537.13,1537.14,1537.12,1537.14
1767469560,1537.14,1537.17,1537.11,1537.16
1767469565,1537.16,1537.16,1537.09,1537.1
1767469570,1537.12,1537.2,1537.09,1537.2
1767469575,1537.22,1537.29,1537.22,1537.29
1767469580,1537.29,1537.29,1537.24,1537.28
1767469585,1537.25,1537.25,1537.19,1537.19
1767469590,1537.19,1537.28,1537.17,1537.28
1767469595,1537.28,1537.44,1537.28,1537.43
1767469600,1537.43,1537.52,1537.43,1537.45
1767469605,1537.43,1537.43,1537.37,1537.41
1767469610,1537.41,1537.41,1537.38,1537.41
1767469615,1537.42,1537.42,1537.35,1537.35
1767469620,1537.35,1537.36,1537.32,1537.33
1767469625,1537.33,1537.33,1537.27,1537.27
1767469630,1537.27,1537.28,1537.21,1537.22
1767469635,1537.24,1537.24,1537.16,1537.16
1767469640,1537.16,1537.17,1537.14,1537.17
1767469645,1537.16,1537.18,1537.15,1537.15
1767469650,1537.14,1537.14,1537.1,1537.1
1767469655,1537.1,1537.1,1536.98,1536.99
1767469660,1536.99,1537,1536.97,1536.98
